applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,Age
1,Robin,West,Charles West,S,F,M,26-May-54,India,Y,FELPW2981R,126-28-0890,passport,51,its,8633 Kyle Villages,Danielfort,5726,Pennsylvania,India,27,253,9734434084,Robin.West@gmail.com,454025,3632200,10-May-19,Surveyor- building control,N,M,92549.1875,370196.75,83828.25,65
2,Linda,Salazar,Henry Salazar,F,F,S,23-May-66,India,Y,AWCPS0800G,623-07-9060,aadhaar,10,artist,3250 Perkins Expressway Suite 556,West Christinamouth,9337,California,India,99,197,9868767974,Linda.Salazar@hotmail.com,3100114,12400456,10-May-19,Market researcher,N,M,535769.095,2143076.38,957037.62,53
3,John,David,Erin David,S,M,M,17-May-89,India,Y,AZLPD8251N,413-08-8773,passport,1,fire,921 Laura Views Suite 514,North Zachary,92027,Montana,India,62,157,9052706131,John.David@hotmail.com,4382268,43822680,10-May-19,Metallurgist,N,L,428874.2229,3002119.56,1380148.44,30
4,Erin,Brown,Steven Brown,S,F,S,20-May-76,India,Y,CPEPB4511T,007-70-8830,aadhaar,71,continue,752 Catherine Views,East Janiceberg,21653,Alaska,India,17,183,9864125986,Erin.Brown@yahoo.com,3097934,15489670,10-May-19,Drilling engineer,N,L,305945.1114,2141615.78,956318.22,43
5,Ryan,Bush,Kaitlyn Bush,S,M,S,21-May-72,India,Y,CVFPB4379A,109-75-9754,voter id,35,tend,735 Murillo Crossroad,Woodville,45478,Ohio,India,98,211,9529974298,Ryan.Bush@gmail.com,2461299,22151691,10-May-19,Psychologist- occupational,N,H,571690.11,1715070.33,746228.67,47
6,Robert,Stark,James Stark,F,M,M,26-May-52,India,Y,BOIPS6039B,140-61-7076,voter id,98,ahead,48970 Greene Loaf,Johnsonstad,83727,Minnesota,India,34,296,9220251868,Robert.Stark@hotmail.com,2118744,10593720,10-May-19,Engineering geologist,N,M,297111.696,1485558.48,633185.52,67
7,Laura,Gibson,Randy Gibson,S,F,M,20-May-79,India,Y,DDJPG9542T,845-48-9271,voter id,69,well,367 George Knolls,Lake Justinborough,71513,Michigan,India,47,189,9521121856,Laura.Gibson@gmail.com,2186456,10932280,10-May-19,Psychologist- educational,N,H,765462.76,1530925.52,655530.48,40
8,Robert,Thomas,Robert Thomas,F,M,M,28-May-47,India,Y,AOHPT8828S,016-11-1526,aadhaar,1,high,88650 Wright Ridges,Port Richard,58879,Kentucky,India,12,256,9807538080,Robert.Thomas@yahoo.com,1785003,7140012,10-May-19,Television production assistant,N,L,180278.8586,1261952.01,523050.99,72
9,Charles,Kennedy,Jennifer Kennedy,S,M,S,29-May-42,US,N,,576-98-1925,passport,27,few,05616 Susan Fork Apt. 078,East Daniel,55422,Alabama,US,75,283,9393366506,Charles.Kennedy@hotmail.com,3406994,37476934,10-May-19,Volunteer coordinator,Y,L,335526.5686,2348685.98,1058308.02,77
10,Bridget,Perez,Fernando Perez,F,F,S,24-May-62,India,Y,BHUPP3801J,484-15-0675,passport,55,room,155 Roy Glen Apt. 566,Loweryport,15265,Oklahoma,India,91,252,9528676614,Bridget.Perez@yahoo.com,3443381,24103667,10-May-19,Commercial horticulturist,N,M,474613.054,2373065.27,1070315.73,57
11,Chelsea,Anderson,Michael Anderson,S,F,S,28-May-45,India,Y,BMMPA8207S,357-12-3984,aadhaar,6,become,4886 William Wall,Mcintyrefurt,31823,Maryland,India,31,271,9672201953,Chelsea.Anderson@yahoo.com,4429190,31004330,10-May-19,Building control surveyor,N,H,1011185.767,3033557.3,1395632.7,74
12,Stephanie,Hayes,Michael Hayes,S,F,S,23-May-64,UK,N,,265-25-4741,passport,68,answer,566 Carlson Overpass Suite 629,Stonebury,72088,Arizona,UK,9,234,9076850002,Stephanie.Hayes@gmail.com,3667625,14670500,10-May-19,Geochemist,N,M,504661.75,2523308.75,1144316.25,55
13,Yolanda,Mooney,Jason Mooney,F,F,M,29-May-43,US,N,,568-19-2605,voter id,37,here,35263 Jessica Well Apt. 374,South Michaelshire,71106,Minnesota,US,18,162,9318407715,Yolanda.Mooney@hotmail.com,4939593,34577151,10-May-19,Armed forces training and education officer,N,L,482218.1871,3375527.31,1564065.69,76
14,Jacob,Campos,Toni Campos,S,M,S,24-May-60,UK,N,,286-14-1799,voter id,55,hair,88617 Tracy Meadows,Martinburgh,22575,Wyoming,UK,5,271,9072200736,Jacob.Campos@hotmail.com,462542,2312710,10-May-19,Sales executive,N,M,93975.785,375903.14,86638.86,59
